Name,Name
Amsterdam,Netherlands
Rotterdam,Netherlands
Haag,Netherlands
Utrecht,Netherlands
Eindhoven,Netherlands
Tilburg,Netherlands
Groningen,Netherlands
Breda,Netherlands
Apeldoorn,Netherlands
Nijmegen,Netherlands
Enschede,Netherlands
Haarlem,Netherlands
Almere,Netherlands
Arnhem,Netherlands
Zaanstad,Netherlands
Â´s-Hertogenbosch,Netherlands
Amersfoort,Netherlands
Maastricht,Netherlands
Dordrecht,Netherlands
Leiden,Netherlands
Haarlemmermeer,Netherlands
Zoetermeer,Netherlands
Emmen,Netherlands
Zwolle,Netherlands
Ede,Netherlands
Delft,Netherlands
Heerlen,Netherlands
Alkmaar,Netherlands
